run_id,phase,kind,rmse,mae,r2,complexity,complexity_name,physical_score,param_count,compute_time_s,path,pareto_optimal
2026-02-26_045336_77244377,04-baselines-pysr,pysr,127.59631641493024,94.45939287293676,0.9992386893601775,1.0,pysr_complexity_min,,,35.996782,runs/2026-02-26_045336_77244377,True
2026-02-26_064508_3e631069,04-baselines-pysr,pysr_seeded,171.4378408512633,129.10441386819252,0.9986256447606167,1.0,pysr_complexity_min,,,16.570928,runs/2026-02-26_064508_3e631069,False
2026-02-26_043102_777fac2d,04-baselines-torch,mlp,175.67892435624188,128.7785319259667,0.9985568052089393,1769.0,param_count,,1769.0,25.048709,runs/2026-02-26_043102_777fac2d,False
2026-02-26_055200_958b3949,02-kan-training,kan_no_l1,1241.4561188258294,1094.104049643672,0.9755025333799955,0.9,edge_pruned_ratio,,,412.75394,runs/2026-02-26_055200_958b3949,True
2026-02-26_053425_2e4bc623,02-kan-training,kan_full,2458.384876869825,2353.752752719819,0.9039365501357844,0.92,edge_pruned_ratio,,,492.151136,runs/2026-02-26_053425_2e4bc623,False
2026-02-26_054408_f605ac11,02-kan-training,kan_no_entropy,3629.641845089241,3279.4666412182155,0.7905955173925867,0.92,edge_pruned_ratio,,,391.137154,runs/2026-02-26_054408_f605ac11,False
2026-02-26_041718_5579aeeb,03-symbolic-extraction,kan_symbolic,5021.452405087558,4516.604271590742,-0.17908286201212298,54.0,sympy_node_count,0.0,,,runs/2026-02-26_041718_5579aeeb,False
2026-02-26_043230_b2b5c68f,04-baselines-torch,lstm,5107.989657653282,4086.572837875,-0.22085135967221015,2129.0,param_count,,2129.0,43.629789,runs/2026-02-26_043230_b2b5c68f,False
2026-02-26_035935_74ef1f78,02-kan-training,kan,5156.14713718735,4268.040294668636,0.577419909634143,0.93,edge_pruned_ratio,,,32.519957,runs/2026-02-26_035935_74ef1f78,False
2026-02-26_060024_d6250f56,02-kan-training,kan_no_magnitude,6266.543299668545,4947.000594586484,0.375813290015344,0.96,edge_pruned_ratio,,,324.728005,runs/2026-02-26_060024_d6250f56,False
transfer_2026-02-26_052920,08-transfer-eval,kan_transfer,11136.072554646169,10240.206013561208,-1.3111207046924078,1956.0,param_count,,1956.0,1.585715,runs/transfer_2026-02-26_052920,False
