run_id,phase,kind,target_col,rmse,mae,r2,rmse_persistence,skill_score,complexity,complexity_name,physical_score,param_count,compute_time_s,path,pareto_optimal
paperref_20260306_121725_v2__s3_comp_load_delta_h6,02-kan-training,s3_comp_load_delta_h6,delta_load_h6,401.1204139733993,301.6058383832089,0.992466732892769,711.5865664038818,0.43630131186915677,0.6666666666666666,edge_pruned_ratio,,,127.628918,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__s3_comp_load_delta_h6,True
paperref_20260306_121725_v2__s0p_wind_delta_h6,02-kan-training,s0p_wind_delta_h6,delta_wind_h6,664.261911264353,466.0375660132228,0.9966078249229602,934.2987095750931,0.28902619209818814,0.7777777777777778,edge_pruned_ratio,,,142.872671,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__s0p_wind_delta_h6,False
paperref_20260306_121725_v2__s3_comp_solar_delta_h6,02-kan-training,s3_comp_solar_delta_h6,delta_solar_h6,1006.928269951828,482.25093065310676,0.9912209161527042,2424.066596385427,0.584611960969522,0.46875,edge_pruned_ratio,,,113.065846,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__s3_comp_solar_delta_h6,True
paperref_20260306_121725_v2__s3_comp_wind_delta_h6,02-kan-training,s3_comp_wind_delta_h6,delta_wind_h6,1008.8728858226189,805.638889959041,0.9921752141967902,934.2987095750931,-0.07981834447940228,0.2708333333333333,edge_pruned_ratio,,,114.338424,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__s3_comp_wind_delta_h6,True
paperref_20260306_121725_v2__sym_strict_r2_0_995_paperref_20260306_121725_v2_s3_comp_load_delta_h6,03-symbolic-extraction,kan_symbolic,delta_load_h6,1027.5946219654843,833.7565302958213,0.9505601115508941,711.5865664038818,-0.4440894059574516,98.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_r2_0_995_paperref_20260306_121725_v2_s3_comp_load_delta_h6,False
paperref_20260306_121725_v2__sym_strict_r2_0_99_paperref_20260306_121725_v2_s3_comp_load_delta_h6,03-symbolic-extraction,kan_symbolic,delta_load_h6,1030.5455622888874,839.0613298885943,0.9502757510857995,711.5865664038818,-0.4482363930743054,88.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_r2_0_99_paperref_20260306_121725_v2_s3_comp_load_delta_h6,False
paperref_20260306_121725_v2__s0p_solar_delta_h6,02-kan-training,s0p_solar_delta_h6,delta_solar_h6,1169.503356636199,560.9726034853886,0.9881571814821724,2424.066596385427,0.5175448734040277,0.27450980392156865,edge_pruned_ratio,,,115.506466,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__s0p_solar_delta_h6,False
paperref_20260306_121725_v2__sym_strict_r2_0_995_paperref_20260306_121725_v2_s0p_wind_delta_h6,03-symbolic-extraction,kan_symbolic,delta_wind_h6,1302.812643388836,1036.8976892655621,0.9869514129639702,934.2987095750931,-0.3944283878775112,133.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_r2_0_995_paperref_20260306_121725_v2_s0p_wind_delta_h6,False
paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s0p_wind_delta_h6,03-symbolic-extraction,kan_symbolic,delta_wind_h6,1324.0809795636644,1054.3881228438938,0.9865219007087259,934.2987095750931,-0.4171923454393287,148.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s0p_wind_delta_h6,False
paperref_20260306_121725_v2__sym_strict_r2_0_99_paperref_20260306_121725_v2_s0p_wind_delta_h6,03-symbolic-extraction,kan_symbolic,delta_wind_h6,1338.502346317741,1064.4919540607277,0.9862267055795966,934.2987095750931,-0.43262784439301494,128.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_r2_0_99_paperref_20260306_121725_v2_s0p_wind_delta_h6,False
paperref_20260306_121725_v2__s3_combo_net_load,05-structured-combination,net_load_from_components,net_load_h6,1407.3511329370697,1043.1587961070986,0.991169210855008,2588.3256081840564,0.45622108395101035,,,,,0.028373,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__s3_combo_net_load,False
