run_id,phase,kind,target_col,rmse,mae,r2,rmse_persistence,skill_score,complexity,complexity_name,physical_score,param_count,compute_time_s,path,pareto_optimal
2026-03-01_105353_fullflow_t4_1e551b__s3_comp_load_delta_load_h6,02-kan-training,s3_comp_load,delta_load_h6,440.08481543596116,331.3090070448022,0.9909456932332366,711.1551785595475,0.3811690771522501,0.7333333333333333,edge_pruned_ratio,,,156.909145,runs/2026-03-01_105353_fullflow_t4_1e551b__s3_comp_load_delta_load_h6,True
2026-03-01_105353_fullflow_t4_1e551b__s3_comp_wind_delta_wind_h6,02-kan-training,s3_comp_wind,delta_wind_h6,839.2683551617432,612.433751429893,0.994578658370776,933.1579802747606,0.10061493026654755,0.6363636363636364,edge_pruned_ratio,,,106.11829,runs/2026-03-01_105353_fullflow_t4_1e551b__s3_comp_wind_delta_wind_h6,True
2026-03-01_105353_fullflow_t4_1e551b__s3_comp_solar_delta_solar_h6,02-kan-training,s3_comp_solar_delta_solar_h6,delta_solar_h6,1119.4691330515427,553.9382479724062,0.9891282422636359,2421.2981292874115,0.5376574575799955,0.6333333333333333,edge_pruned_ratio,,,147.6841,runs/2026-03-01_105353_fullflow_t4_1e551b__s3_comp_solar_delta_solar_h6,True
2026-03-01_105353_fullflow_t4_1e551b__kan_delta_net_load_h6_nobase_nogrid,02-kan-training,fullflow_main_nobase_nogrid,delta_net_load_h6,1416.5407520087194,912.9542981109173,0.9910362556153399,2585.6626113280736,0.45215561156250705,0.8611111111111112,edge_pruned_ratio,,,205.25206,runs/2026-03-01_105353_fullflow_t4_1e551b__kan_delta_net_load_h6_nobase_nogrid,False
2026-03-01_105353_fullflow_t4_1e551b__baseline_mlp_match_main,04-baselines-torch,mlp,delta_net_load_h6,1495.5218513697082,1025.9294430954233,0.9900088186216447,2585.6626114533037,0.4216098245976757,1905.0,param_count,,1905.0,578.503965,runs/2026-03-01_105353_fullflow_t4_1e551b__baseline_mlp_match_main,False
2026-03-01_105353_fullflow_t4_1e551b__baseline_mscnn_attn_match_main,04-baselines-torch,mscnn_attn,delta_net_load_h6,1506.851634701606,1007.1504722008772,0.9898785490226537,2588.2427677980468,0.4178090040666613,98433.0,param_count,,98433.0,1513.669848,runs/2026-03-01_105353_fullflow_t4_1e551b__baseline_mscnn_attn_match_main,False
2026-03-01_105353_fullflow_t4_1e551b__s3_combo_net_load_h6,05-structured-combination,net_load_from_components,net_load_h6,1520.1801375610487,1056.6991759368461,0.9896729105964164,2585.662611328074,0.41258943811010773,,,,,0.032472,runs/2026-03-01_105353_fullflow_t4_1e551b__s3_combo_net_load_h6,False
2026-03-01_105353_fullflow_t4_1e551b__sym_strict_r2_0_995,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,2274.9352013293637,1662.7462370896255,0.9768809822248313,2585.6626113280736,0.12017322315656298,103.0,sympy_node_count,,,,runs/2026-03-01_105353_fullflow_t4_1e551b__sym_strict_r2_0_995,False
2026-03-01_105353_fullflow_t4_1e551b__sym_strict_r2_0_999,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,2275.0018515736524,1662.7717594306112,0.9768796275394287,2585.6626113280736,0.12014744630385343,108.0,sympy_node_count,0.0,,,runs/2026-03-01_105353_fullflow_t4_1e551b__sym_strict_r2_0_999,False
2026-03-01_105353_fullflow_t4_1e551b__sym_medium_r2_0_999,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,13102.80685499535,4942.333875491263,0.23306246069157466,2585.6626113280736,-4.067485138080469,87.0,sympy_node_count,,,,runs/2026-03-01_105353_fullflow_t4_1e551b__sym_medium_r2_0_999,False
2026-03-01_105353_fullflow_t4_1e551b__sym_medium_r2_0_995,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,13103.600102848233,4941.288592098882,0.23296959662380912,2585.6626113280736,-4.067791925149056,83.0,sympy_node_count,,,,runs/2026-03-01_105353_fullflow_t4_1e551b__sym_medium_r2_0_995,False
