run_id,target_col,family,segment,n,rmse,mae,r2,source_col,q33,q67
solar_h72_both,delta_solar_h72,day_night,day,6452,5285.63240356524,4198.472937364055,0.7064866649030532,is_night,,
solar_h72_both,delta_solar_h72,day_night,night,8644,3568.1279364797265,1881.5795414596266,-2977.0547612057717,is_night,,
solar_h72_both,delta_solar_h72,ghi_quantile,high,2151,5489.196088331228,4780.543162844562,-0.19577166181378125,ghi_w_m2,-0.2038377230446858,0.6030736327476244
solar_h72_both,delta_solar_h72,ghi_quantile,low,2151,4963.562420874538,3435.563159295855,0.4061907249626474,ghi_w_m2,-0.2038377230446858,0.6030736327476244
solar_h72_both,delta_solar_h72,ghi_quantile,mid,2150,5389.435895795135,4379.396601371554,0.4507645687889428,ghi_w_m2,-0.2038377230446858,0.6030736327476244
solar_h144_both,delta_solar_h144,day_night,day,6452,7531.580707981323,6011.211576425837,0.4040549822004793,is_night,,
solar_h144_both,delta_solar_h144,day_night,night,8644,9483.933070930463,7644.853139525592,-21038.179785050143,is_night,,
solar_h144_both,delta_solar_h144,ghi_quantile,high,2151,5672.562333938409,4791.102061686018,-0.27699536353418175,ghi_w_m2,-0.2038377230446858,0.6030736327476244
solar_h144_both,delta_solar_h144,ghi_quantile,low,2151,8301.341987624834,6274.257442961935,-0.6609502047572793,ghi_w_m2,-0.2038377230446858,0.6030736327476244
solar_h144_both,delta_solar_h144,ghi_quantile,mid,2150,8312.017210489304,6968.720370512442,-0.30642593138742713,ghi_w_m2,-0.2038377230446858,0.6030736327476244
solar_h576_both,delta_solar_h576,day_night,day,6452,8398.123945930043,6433.8158286240205,0.2590336514178295,is_night,,
solar_h576_both,delta_solar_h576,day_night,night,8644,1351.2305928420085,1017.9613353215035,-426.0815229334866,is_night,,
solar_h576_both,delta_solar_h576,ghi_quantile,high,2151,9086.161528596313,7376.993857463072,-2.2763604366375296,ghi_w_m2,-0.2038377230446858,0.6030736327476244
solar_h576_both,delta_solar_h576,ghi_quantile,low,2151,6903.708739833646,4967.616536359871,-0.14874840771895514,ghi_w_m2,-0.2038377230446858,0.6030736327476244
solar_h576_both,delta_solar_h576,ghi_quantile,mid,2150,9020.586035171946,6957.080357753035,-0.5386556312958517,ghi_w_m2,-0.2038377230446858,0.6030736327476244
