feature,active_edges,active_ratio
load,6,1.0
wind,0,0.0
solar,0,0.0
temp_2m_c,0,0.0
wind_speed_10m_m_s,0,0.0
wind_speed_10m_m_s_cubed,0,0.0
wind_speed_hub_est,0,0.0
surface_pressure_hpa,0,0.0
ghi_w_m2,0,0.0
ghi_day_w_m2,0,0.0
ghi_temp_corr_w_m2,0,0.0
cdd_18c,0,0.0
hdd_18c,0,0.0
solar_altitude,0,0.0
solar_azimuth,0,0.0
is_night,0,0.0
hour_sin,0,0.0
hour_cos,0,0.0
dow_sin,0,0.0
dow_cos,0,0.0
month_sin,0,0.0
month_cos,0,0.0
load_lag_12,0,0.0
load_lag_24,0,0.0
load_lag_48,0,0.0
wind_lag_12,0,0.0
wind_lag_24,0,0.0
wind_lag_48,0,0.0
solar_lag_12,0,0.0
solar_lag_24,0,0.0
solar_lag_48,0,0.0
