layer,i,j,best_name,r2,complexity,fixed,fixed_as
0,0,0,x,0.8477940559387207,1.0,False,
0,0,1,x,0.7291531562805176,1.0,False,
0,0,2,x,0.9343031644821167,1.0,False,
0,1,0,x,0.5449032187461853,1.0,False,
0,1,1,x,0.6167762279510498,1.0,False,
0,1,2,x,0.8864455223083496,1.0,False,
0,2,0,0,1.0,0.0,True,0
0,2,1,0,1.0,0.0,True,0
0,2,2,0,1.0,0.0,True,0
0,3,0,0,1.0,0.0,True,0
0,3,1,0,1.0,0.0,True,0
0,3,2,0,1.0,0.0,True,0
0,4,0,0,1.0,0.0,True,0
0,4,1,0,1.0,0.0,True,0
0,4,2,0,1.0,0.0,True,0
0,5,0,x,0.9310262799263,1.0,False,
0,5,1,x,0.6785027384757996,1.0,False,
0,5,2,x,0.9997989535331726,1.0,True,x
0,6,0,x,0.7142533659934998,1.0,False,
0,6,1,sin,0.9998944997787476,2.0,True,sin
0,6,2,x,0.08733287453651428,1.0,False,
0,7,0,x,0.9017598032951355,1.0,False,
0,7,1,cos,0.999951183795929,2.0,True,cos
0,7,2,x,0.9159989953041077,1.0,False,
0,8,0,0,1.0,0.0,True,0
0,8,1,x,1.000001072883606,1.0,True,x
0,8,2,x,1.0000009536743164,1.0,True,x
0,9,0,x,0.9991443753242493,1.0,True,x
0,9,1,x,0.9999474883079529,1.0,True,x
0,9,2,x,0.9980853796005249,1.0,True,x
0,10,0,x,0.9966249465942383,1.0,True,x
0,10,1,x,0.9969812035560608,1.0,True,x
0,10,2,x,0.9970886707305908,1.0,True,x
0,11,0,x,0.6326361894607544,1.0,False,
0,11,1,x,0.9836137294769287,1.0,False,
0,11,2,x,0.9740974307060242,1.0,False,
0,12,0,x,0.6756901144981384,1.0,False,
0,12,1,x,0.27637696266174316,1.0,False,
0,12,2,x,0.9522778391838074,1.0,False,
0,13,0,x,0.9846900701522827,1.0,False,
0,13,1,0,1.0,0.0,True,0
0,13,2,x,0.7148539423942566,1.0,False,
0,14,0,0,1.0,0.0,True,0
0,14,1,x,0.9725034236907959,1.0,False,
0,14,2,x,0.9999476671218872,1.0,True,x
0,15,0,0,1.0,0.0,True,0
0,15,1,x,0.5433236360549927,1.0,False,
0,15,2,0,1.0,0.0,True,0
1,0,0,x,0.05734765902161598,1.0,False,
1,1,0,x,0.011722094379365444,1.0,False,
1,2,0,x,0.26189252734184265,1.0,False,
