layer,i,j,best_name,r2,complexity,fixed,fixed_as
0,0,0,0,1.0,0.0,True,0
0,0,1,0,1.0,0.0,True,0
0,0,2,0,1.0,0.0,True,0
0,0,3,0,1.0,0.0,True,0
0,0,4,0,1.0,0.0,True,0
0,1,0,x,0.8355806469917297,1.0,False,
0,1,1,0,1.0,0.0,True,0
0,1,2,x,0.8424376845359802,1.0,False,
0,1,3,0,1.0,0.0,True,0
0,1,4,0,1.0,0.0,True,0
0,2,0,0,1.0,0.0,True,0
0,2,1,0,1.0,0.0,True,0
0,2,2,0,1.0,0.0,True,0
0,2,3,0,1.0,0.0,True,0
0,2,4,0,1.0,0.0,True,0
0,3,0,0,1.0,0.0,True,0
0,3,1,0,1.0,0.0,True,0
0,3,2,0,1.0,0.0,True,0
0,3,3,0,1.0,0.0,True,0
0,3,4,0,1.0,0.0,True,0
0,4,0,0,1.0,0.0,True,0
0,4,1,0,1.0,0.0,True,0
0,4,2,0,1.0,0.0,True,0
0,4,3,0,1.0,0.0,True,0
0,4,4,0,1.0,0.0,True,0
0,5,0,0,1.0,0.0,True,0
0,5,1,x,0.8727149367332458,1.0,False,
0,5,2,0,1.0,0.0,True,0
0,5,3,0,1.0,0.0,True,0
0,5,4,0,1.0,0.0,True,0
0,6,0,0,1.0,0.0,True,0
0,6,1,0,1.0,0.0,True,0
0,6,2,0,1.0,0.0,True,0
0,6,3,0,1.0,0.0,True,0
0,6,4,0,1.0,0.0,True,0
0,7,0,0,1.0,0.0,True,0
0,7,1,0,1.0,0.0,True,0
0,7,2,0,1.0,0.0,True,0
0,7,3,0,1.0,0.0,True,0
0,7,4,0,1.0,0.0,True,0
0,8,0,0,1.0,0.0,True,0
0,8,1,0,1.0,0.0,True,0
0,8,2,0,1.0,0.0,True,0
0,8,3,0,1.0,0.0,True,0
0,8,4,0,1.0,0.0,True,0
0,9,0,0,1.0,0.0,True,0
0,9,1,0,1.0,0.0,True,0
0,9,2,0,1.0,0.0,True,0
0,9,3,0,1.0,0.0,True,0
0,9,4,0,1.0,0.0,True,0
0,10,0,0,1.0,0.0,True,0
0,10,1,0,1.0,0.0,True,0
0,10,2,0,1.0,0.0,True,0
0,10,3,x,0.9586887359619141,1.0,False,
0,10,4,0,1.0,0.0,True,0
0,11,0,0,1.0,0.0,True,0
0,11,1,0,1.0,0.0,True,0
0,11,2,x,0.7141335606575012,1.0,False,
0,11,3,x,0.9974574446678162,1.0,True,x
0,11,4,0,1.0,0.0,True,0
0,12,0,x,0.8040206432342529,1.0,False,
0,12,1,0,1.0,0.0,True,0
0,12,2,x,0.9277669787406921,1.0,False,
0,12,3,0,1.0,0.0,True,0
0,12,4,0,1.0,0.0,True,0
0,13,0,0,1.0,0.0,True,0
0,13,1,0,1.0,0.0,True,0
0,13,2,0,1.0,0.0,True,0
0,13,3,0,1.0,0.0,True,0
0,13,4,0,1.0,0.0,True,0
0,14,0,0,1.0,0.0,True,0
0,14,1,x,0.9950460195541382,1.0,True,x
0,14,2,x,0.9713825583457947,1.0,False,
0,14,3,0,1.0,0.0,True,0
0,14,4,x,0.35175377130508423,1.0,False,
0,15,0,0,1.0,0.0,True,0
0,15,1,x,0.9929209351539612,1.0,True,x
0,15,2,x,0.9302285313606262,1.0,False,
0,15,3,0,1.0,0.0,True,0
0,15,4,x^2,0.9995928406715393,2.0,True,x^2
0,16,0,0,1.0,0.0,True,0
0,16,1,0,1.0,0.0,True,0
0,16,2,x,0.40251514315605164,1.0,False,
0,16,3,0,1.0,0.0,True,0
0,16,4,0,1.0,0.0,True,0
1,0,0,x,0.9228213429450989,1.0,False,
1,1,0,x,0.9819602370262146,1.0,False,
1,2,0,x,0.9796547889709473,1.0,False,
1,3,0,x,0.9957892298698425,1.0,True,x
1,4,0,x,0.24472442269325256,1.0,False,
